trigger_code,trigger_name,onset_time,trial_number,condition,word,response,rt
4,COND1_WORD,612.5952110000071,112,1,blanket,,
6,RESP_Y,613.3190857000009,112,1,blanket,y,0.7238894999900367
2,COND1_LABEL,616.3288192000182,113,1,,,
4,COND1_WORD,617.8454257000121,113,1,axle,,
6,RESP_Y,619.2130896000017,113,1,axle,y,1.367690399987623
3,COND2_LABEL,622.2287362000206,114,2,,,
5,COND2_WORD,623.7455924000242,114,2,octopus,,
6,RESP_Y,624.8041354000161,114,2,octopus,y,1.0585570000112057
3,COND2_LABEL,627.8123242000001,115,2,,,
5,COND2_WORD,629.3290564000199,115,2,watch,,
7,RESP_N,630.893088700017,115,2,watch,n,1.5640495999832638
3,COND2_LABEL,633.9123479000118,116,2,,,
5,COND2_WORD,635.429329800012,116,2,lamp,,
7,RESP_N,636.2181989000237,116,2,lamp,n,0.7888823999965098
3,COND2_LABEL,639.2289787000045,117,2,,,
5,COND2_WORD,640.7458262,117,2,kangaroo,,
6,RESP_Y,641.6930954999989,117,2,kangaroo,y,0.947282900015125
2,COND1_LABEL,644.6957876000088,118,1,,,
4,COND1_WORD,646.2126096000138,118,1,grill,,
7,RESP_N,646.9480619000096,118,1,grill,n,0.7354656000097748
2,COND1_LABEL,649.9626589000109,119,1,,,
4,COND1_WORD,651.4791836000222,119,1,cod,,
7,RESP_N,652.7501612000051,119,1,cod,n,1.2710197000124026
2,COND1_LABEL,655.7625685000094,120,1,,,
4,COND1_WORD,657.2795419000031,120,1,cup,,
7,RESP_N,658.4682242000126,120,1,cup,n,1.1886959999974351
2,COND1_LABEL,661.4797094000096,121,1,,,
4,COND1_WORD,662.9967469999974,121,1,emu,,
7,RESP_N,664.3311385000125,121,1,emu,n,1.3344110999896657
2,COND1_LABEL,667.3461846999999,122,1,,,
4,COND1_WORD,668.8632603000151,122,1,candle,,
6,RESP_Y,669.8171421000152,122,1,candle,y,0.953897000028519
2,COND1_LABEL,672.8298224000027,123,1,,,
4,COND1_WORD,674.3464229000092,123,1,daisy,,
6,RESP_Y,675.5131400999962,123,1,daisy,y,1.1667324000154622
3,COND2_LABEL,678.529786900006,124,2,,,
5,COND2_WORD,680.0466634000186,124,2,wasp,,
6,RESP_Y,681.4731353000097,124,2,wasp,y,1.4264861000119708
3,COND2_LABEL,684.4798710000177,125,2,,,
5,COND2_WORD,685.9966724000114,125,2,granite,,
7,RESP_N,686.7293177999964,125,2,granite,n,0.7326708999753464
3,COND2_LABEL,689.7468565000163,126,2,,,
5,COND2_WORD,691.2633708000067,126,2,anteater,,
6,RESP_Y,692.3581593999988,126,2,anteater,y,1.094801799976267
2,COND1_LABEL,695.3635306000069,127,1,,,
4,COND1_WORD,696.8805599000189,127,1,bottle,,
7,RESP_N,697.6572501000192,127,1,bottle,n,0.7767038000165485
2,COND1_LABEL,700.6636514000129,128,1,,,
4,COND1_WORD,702.1802119000058,128,1,catfish,,
6,RESP_Y,703.2121499000059,128,1,catfish,y,1.0319519999902695
2,COND1_LABEL,706.2302760000166,129,1,,,
4,COND1_WORD,707.7472258000053,129,1,glove,,
7,RESP_N,708.6781594000058,129,1,glove,n,0.9309472000168171
3,COND2_LABEL,711.6972519000119,130,2,,,
5,COND2_WORD,713.2135125000204,130,2,platypus,,
6,RESP_Y,713.9211890000151,130,2,platypus,y,0.7076944999862462
2,COND1_LABEL,716.9305873000121,131,1,,,
4,COND1_WORD,718.4473173000151,131,1,bison,,
7,RESP_N,719.3391534000111,131,1,bison,n,0.8918621000193525
2,COND1_LABEL,722.346849900001,132,1,,,
4,COND1_WORD,723.8639961000008,132,1,bandage,,
6,RESP_Y,724.7991964000103,132,1,bandage,y,0.9352268000075128
2,COND1_LABEL,727.814199400018,133,1,,,
4,COND1_WORD,729.3306265000138,133,1,barrel,,
6,RESP_Y,730.1111920000112,133,1,barrel,y,0.7805818000051659
3,COND2_LABEL,733.1143187000125,134,2,,,
5,COND2_WORD,734.6309264000156,134,2,palace,,
7,RESP_N,735.6572134000016,134,2,palace,n,1.0263012000068557
2,COND1_LABEL,738.6642974000133,135,1,,,
4,COND1_WORD,740.1811242999975,135,1,clover,,
7,RESP_N,741.017205000011,135,1,clover,n,0.8360946000029799
2,COND1_LABEL,744.031089600001,136,1,,,
4,COND1_WORD,745.5476693000237,136,1,falcon,,
6,RESP_Y,746.3382219000196,136,1,falcon,y,0.7905911999987438
2,COND1_LABEL,749.3476740000187,137,1,,,
4,COND1_WORD,750.8645673000137,137,1,flamingo,,
6,RESP_Y,751.8232766000147,137,1,flamingo,y,0.9587225000141189
3,COND2_LABEL,754.8312023000035,138,2,,,
5,COND2_WORD,756.3483198000176,138,2,shard,,
7,RESP_N,757.7202280000201,138,2,shard,n,1.3719233000010718
2,COND1_LABEL,760.7314731000224,139,1,,,
4,COND1_WORD,762.2481613999989,139,1,bee,,
7,RESP_N,763.7642142999975,139,1,bee,n,1.5160658999811858
2,COND1_LABEL,766.7815313000174,140,1,,,
4,COND1_WORD,768.2981180000061,140,1,brick,,
7,RESP_N,769.4483844000206,140,1,brick,n,1.1502816999854986
3,COND2_LABEL,772.4654231000168,141,2,,,
5,COND2_WORD,773.9817558000213,141,2,walrus,,
6,RESP_Y,774.6762250000029,141,2,walrus,y,0.6944834000023548
2,COND1_LABEL,777.6818415000162,142,1,,,
4,COND1_WORD,779.1985669000132,142,1,gun,,
7,RESP_N,780.7803210999991,142,1,gun,n,1.5817672999983188
3,COND2_LABEL,783.798479500023,143,2,,,
5,COND2_WORD,785.3150123000087,143,2,sandstone,,
7,RESP_N,787.1443155000161,143,2,sandstone,n,1.8293173999991268
3,COND2_LABEL,790.1485213999986,144,2,,,
5,COND2_WORD,791.6652795000118,144,2,maze,,
7,RESP_N,793.0882761999965,144,2,maze,n,1.4230071000056341
2,COND1_LABEL,796.0984652000188,145,1,,,
4,COND1_WORD,797.6152589000121,145,1,flower,,
7,RESP_N,798.6442348000128,145,1,flower,n,1.0290020999964327
2,COND1_LABEL,801.6487134000054,146,1,,,
4,COND1_WORD,803.1654936000123,146,1,bell,,
7,RESP_N,804.1842507999972,146,1,bell,n,1.0187723999843001
2,COND1_LABEL,807.1991432000068,147,1,,,
4,COND1_WORD,808.715371600003,147,1,cheetah,,
6,RESP_Y,810.1192750000046,147,1,cheetah,y,1.403920000011567
3,COND2_LABEL,813.1324928000104,148,2,,,
5,COND2_WORD,814.6488806999987,148,2,lion,,
6,RESP_Y,815.5055829000194,148,2,lion,y,0.8567190000030678
3,COND2_LABEL,818.5158757000172,149,2,,,
5,COND2_WORD,820.0322982000071,149,2,pen,,
7,RESP_N,820.82034570002,149,2,pen,n,0.7880618999770377
2,COND1_LABEL,823.8324083000189,150,1,,,
4,COND1_WORD,825.3497566000151,150,1,charcoal,,
6,RESP_Y,826.2484123000177,150,1,charcoal,y,0.8986702999973204
2,COND1_LABEL,829.2659157000016,151,1,,,
4,COND1_WORD,830.7824448000174,151,1,backpack,,
6,RESP_Y,832.0542873000086,151,1,backpack,y,1.2718569000135176
2,COND1_LABEL,835.0664175999991,152,1,,,
4,COND1_WORD,836.5826434000046,152,1,baboon,,
6,RESP_Y,837.7102870000235,152,1,baboon,y,1.127686599997105
3,COND2_LABEL,840.7166136000014,153,2,,,
5,COND2_WORD,842.2328466000035,153,2,ledge,,
7,RESP_N,842.9992922000238,153,2,ledge,n,0.7664589999767486
3,COND2_LABEL,846.016219800018,154,2,,,
5,COND2_WORD,847.5329772999976,154,2,hyena,,
6,RESP_Y,849.1583043000137,154,2,hyena,y,1.6253399999986868
3,COND2_LABEL,852.1665451000154,155,2,,,
5,COND2_WORD,853.6829266000132,155,2,marble,,
7,RESP_N,854.7324035000056,155,2,marble,n,1.049491699988721
2,COND1_LABEL,857.7496696000162,156,1,,,
4,COND1_WORD,859.2663698999968,156,1,horse,,
6,RESP_Y,860.4964036000019,156,1,horse,y,1.2300502000143752
3,COND2_LABEL,863.5000819000124,157,2,,,
